Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
9/27/20,2855.524591,85,50,7994,6113.869108,1.01518229,1.921666384,0.268964559,69,65239395,19062204
9/28/20,2330.841258,29,23,10040,6569.220032,0.838227871,1.820717454,0.249618918,128,45196254,10837987
9/29/20,2465.173717,143,80,12624,9547.394882,0.72974423,1.893566847,0.266316295,108,65050420,12947412
9/30/20,1711.216875,15,8,2649,1784.992247,0.839881064,1.869504809,0.25701496,28,73353984,1146851
10/1/20,2000.280891,103,62,9443,7142.512653,0.763919273,1.860002637,0.252968192,80,74016622,5672358
10/2/20,1983.983312,129,68,9774,7631.671435,0.602087953,1.905071378,0.321268708,77,79008716,5417300
10/3/20,2031.204364,23,18,6758,4563.603389,0.968059625,1.930881739,0.25701496,81,63015182,6151529
10/4/20,1702.528499,15,8,2282,1645.376547,0.537134726,1.868088365,0.255645007,23,78817181,1010824
10/5/20,1684.646196,,,747,440.5373845,0.584478609,1.50691843,0.251199096,8,79096007,730859
10/6/20,1641.799783,,,228,99.72270799,0.372058075,0.50105989,0.321268678,,80249970,60053
10/7/20,2052.276489,17,14,6556,4371.381869,0.773941931,1.780584216,0.245841876,80,60478827,6480796
10/8/20,1657.382302,,,772,466.3663774,0.614566024,0.98634696,0.321268708,11,80958678,304014
10/9/20,1637.964087,,,17,,,,,,79249964,
10/10/20,1641.038435,,,125,48.30645734,1.19216162,1.366534591,1.017788649,,79113794,48134
10/11/20,2163.122691,26,18,7260,4987.88319,0.84618153,1.916664243,0.258736998,92,56381539,8193641
10/12/20,1804.21076,33,18,3840,2741.041247,0.638463522,1.810002208,0.273766309,38,79955340,2573821
10/13/20,2007.356489,66,43,6980,5223.599377,0.862639443,1.860339046,0.255783647,63,77131100,5780960
10/14/20,2204.974939,106,70,12641,9353.385559,0.933792427,2.245916128,0.25701496,119,64474005,8809955
10/15/20,1911.518749,36,19,5573,3836.222552,0.718379219,2.009177446,0.25701496,55,72253002,4268945
10/16/20,1834.766011,27,15,3757,2638.010003,0.699741019,1.890033007,0.255843341,37,70487928,3076994
10/17/20,1877.270413,28,19,5031,3531.38711,0.997409625,1.856920242,0.289141834,54,75184328,3683328
10/18/20,1637.964017,,,202,105.2477269,0.470684285,1.316989303,0.25701496,1,81124086,
10/19/20,1771.003394,24,14,3190,2219.783212,0.744703459,1.853860617,0.251115292,28,79995371,2082873
10/20/20,2081.317154,97,60,10309,7686.009999,0.833906438,1.903998613,0.253377825,97,70525401,6835894
10/21/20,1756.965674,17,9,2429,1654.342073,0.856882638,1.831818819,0.271654099,23,75974677,1863097
10/22/20,1822.130303,22,19,3732,2618.602307,0.900499689,1.82398963,0.278011829,37,70225774,2882363
10/23/20,2574.053834,100,67,12130,8793.004926,0.71968729,1.861824989,0.251835763,113,60424248,14649910
10/24/20,1642.461468,,,365,211.8756731,0.79570679,1.72251153,0.321268708,2,82041117,70412
10/25/20,1903.648036,19,15,4769,3216.564119,0.884956424,1.845744491,0.278432846,54,74160012,4132012
10/26/20,2126.506905,67,43,9316,6758.201015,0.796316769,1.918053627,0.268683255,92,64281919,7646342
10/27/20,1787.340887,22,14,2916,2089.719168,0.960225984,1.975296497,0.267723888,29,76200597,2338653
10/28/20,2146.63577,150,88,14478,10927.85994,0.859854599,1.904132128,0.278432846,128,66877700,7858149
10/29/20,2238.065945,189,120,17341,13261.9749,0.901928618,1.900511026,0.267723888,145,70833770,9269256
10/30/20,2611.451962,129,90,16122,11759.00837,0.930304095,1.935657263,0.250731707,148,53627957,15097907
10/31/20,2104.865467,68,40,9947,7159.650488,1.08916043,1.961147904,0.255846143,109,62359151,6987524
11/1/20,1945.04432,35,18,3511,2597.581966,0.822902304,1.913267732,0.321268708,31,83277602,3739166
11/2/20,2244.613157,73,49,11986,8431.857467,0.939141699,1.901893258,0.248711541,130,55403774,9288810
